Reactor-length Experimental-results Non-adiabatic-reflective-wall Adiabatic-reflective-wall
cm C C C
25.737 43.45 38.55 892.85
25.806 43.05 38.25 890.85
25.875 42.55 37.85 888.85
25.944 42.15 37.45 887.85
26.013 41.75 37.15 885.85
26.082 41.35 36.85 883.85
26.151 41.05 36.55 881.85
26.22 40.65 36.15 879.85
26.289 40.25 35.85 877.85
26.358 39.95 35.65 875.85
26.427 39.65 35.35 873.85
26.496 39.25 35.05 871.85
26.565 38.95 34.85 868.85
26.634 38.65 34.55 866.85
26.703 38.35 34.35 864.85
26.772 38.05 34.05 862.85
26.841 37.75 33.85 859.85
26.91 37.55 33.65 857.85
26.979 37.25 33.45 854.85
27.048 36.95 33.25 852.85
27.117 36.75 33.05 849.85
27.186 36.45 32.85 846.85
27.255 36.25 32.65 843.85
27.324 35.95 32.45 841.85
27.393 35.75 32.25 838.85
27.462 35.45 32.05 835.85
27.531 35.25 31.85 832.85
27.6 35.05 31.75 829.85
27.669 34.85 31.55 825.85
27.738 34.65 31.35 822.85
27.807 34.45 31.25 819.85
27.876 34.15 31.05 815.85
27.945 33.95 30.85 812.85
28.014 33.85 30.75 808.85
28.083 33.65 30.55 805.85
28.152 33.45 30.45 801.85
28.221 33.25 30.25 797.85
28.29 33.05 30.15 793.85
28.359 32.85 30.05 789.85
28.428 32.65 29.85 785.85
28.497 32.55 29.75 781.85
28.566 32.35 29.65 776.85
28.635 32.15 29.45 772.85
28.704 32.05 29.35 767.85
28.773 31.85 29.25 763.85
28.842 31.65 29.05 758.85
28.911 31.55 28.95 753.85
28.98 31.35 28.85 748.85
29.049 31.25 28.75 743.85
29.118 31.05 28.65 738.85
29.187 30.95 28.55 732.85
29.256 30.75 28.35 727.85
29.325 30.65 28.25 721.85
29.394 30.55 28.15 716.15
29.463 30.35 28.05 710.25
29.532 30.25 27.95 704.15
29.601 30.15 27.85 697.85
29.67 29.95 27.75 691.45
29.739 29.85 27.65 684.95
29.808 29.75 27.55 678.15
29.877 29.65 27.45 671.15
29.946 29.45 27.35 664.05
30.015 29.35 27.25 656.75
30.084 29.25 27.15 649.25
30.153 29.15 27.15 641.35
30.222 29.05 27.05 633.35
30.291 28.95 26.95 625.25
30.36 28.75 26.85 616.85
30.429 28.65 26.75 608.15
30.498 28.55 26.65 599.35
30.567 28.45 26.55 590.55
30.636 28.35 26.55 581.45
30.705 28.25 26.45 571.75
30.774 28.15 26.35 561.95
30.843 28.05 26.25 552.05
30.912 27.95 26.25 542.05
30.981 27.85 26.15 531.45
31.05 27.75 26.05 520.55
31.119 27.75 25.95 509.85
31.188 27.65 25.95 499.05
31.257 27.55 25.85 487.45
31.326 27.45 25.75 475.65
31.395 27.35 25.75 463.95
31.464 27.25 25.65 452.35
31.533 27.15 25.55 440.45
31.602 27.15 25.55 428.15
31.671 27.05 25.45 415.95
31.74 26.95 25.45 403.95
31.809 26.85 25.35 391.85
31.878 26.75 25.25 379.65
31.947 26.75 25.25 367.55
32.016 26.65 25.15 355.65
32.085 26.55 25.15 343.85
32.154 26.45 25.05 332.15
32.223 26.45 25.05 320.65
32.292 26.35 24.95 309.35
32.361 26.25 24.85 298.35
