Raman shift	Spent	Raman shift	Fresh
cm^-1		cm^-1	
745.742	21.7285714285714	745.742	21.9571428571429
750.538	20.7428571428571	750.538	18.4428571428571
755.329	22.1714285714286	755.329	15.8571428571429
760.122	24.7285714285714	760.122	21.6571428571429
764.91	24.9285714285714	764.91	23.6571428571429
769.7	20.7857142857143	769.7	18.7285714285714
774.485	19.7428571428571	774.485	14.6571428571429
779.272	23.0571428571429	779.272	17.7142857142857
784.054	23.7571428571429	784.054	19.6
788.835	22.6571428571429	788.835	17.6571428571429
793.617	26.5714285714286	793.617	22.3571428571429
798.395	27.8	798.395	24.0714285714286
803.171	24.6428571428571	803.171	22.6857142857143
807.948	20.9	807.948	19.0857142857143
812.722	22.2428571428571	812.722	25.5142857142857
817.496	25.8142857142857	817.496	25.0857142857143
822.266	24.3571428571429	822.266	20.4
827.035	23.0428571428571	827.035	18.5714285714286
831.802	25.4	831.802	22.9
836.57	26.2857142857143	836.57	22.2
841.334	22.7428571428571	841.334	18.1714285714286
846.097	19.5857142857143	846.097	21.5142857142857
850.861	23.8571428571429	850.861	23.4142857142857
855.62	22.9714285714286	855.62	19.6857142857143
860.378	22.6714285714286	860.378	18.5857142857143
865.135	24	865.135	25.5714285714286
869.892	26.8285714285714	869.892	25.5571428571429
874.646	24.9571428571429	874.646	21.9571428571429
879.398	22.5428571428571	879.398	21.5714285714286
884.148	25.0142857142857	884.148	24.6
888.897	25.6	888.897	22.4857142857143
893.647	24.4142857142857	893.647	19.9142857142857
898.393	23.8714285714286	898.393	23.1571428571429
903.138	27.0142857142857	903.138	22.5
907.881	25.7857142857143	907.881	16.6285714285714
912.622	22.7285714285714	912.622	15.6285714285714
917.362	22.8857142857143	917.362	21.5857142857143
922.103	24.9857142857143	922.103	22.3
926.84	23.2571428571429	926.84	18.1857142857143
931.575	21.4857142857143	931.575	19.9571428571429
936.309	20.9857142857143	936.309	21.3714285714286
941.041	22.5285714285714	941.041	19.9714285714286
945.772	22.5714285714286	945.772	17.7428571428571
950.502	24.6428571428571	950.502	21.6571428571429
955.23	24.8857142857143	955.23	21.2
959.956	23.2571428571429	959.956	18.2857142857143
964.681	23.6285714285714	964.681	17.5
969.404	24.6857142857143	969.404	20.6714285714286
