Reactor-length Temperature-100mlmin Temperature-200mlmin Temperature-400mlmin Temperature-600mlmin Temperature-800mlmin
cm  K K K K K
13.731 518.55 512.45 498.75 483.55 466.95
13.8 531.05 525.75 513.85 500.25 485.35
13.869 540.45 535.85 525.25 513.05 499.55
13.938 547.55 543.45 533.95 523.05 510.75
14.007 554.45 550.85 542.45 532.65 521.55
14.076 559.85 556.55 549.15 540.35 530.35
14.145 564.85 562.05 555.45 547.65 538.65
14.214 569.35 566.85 561.05 554.15 546.15
14.283 572.65 570.45 565.25 559.05 551.75
14.352 576.55 574.65 570.05 564.55 558.05
14.421 578.35 576.55 572.35 567.35 561.35
14.49 580.65 578.95 575.15 570.55 565.15
14.559 582.25 580.75 577.25 573.05 568.05
14.628 583.55 582.15 578.95 575.05 570.35
14.697 585.35 584.05 581.15 577.55 573.25
14.766 586.85 585.65 582.95 579.65 575.65
14.835 588.35 587.25 584.65 581.65 578.05
14.904 589.75 588.75 586.45 583.55 580.25
14.973 590.75 589.75 587.55 584.95 581.75
15.042 592.05 591.15 589.15 586.65 583.75
15.111 592.85 591.95 590.05 587.75 584.95
15.18 593.85 593.05 591.25 589.05 586.55
15.249 594.25 593.55 591.85 589.85 587.35
15.318 594.55 593.85 592.25 590.35 588.15
15.387 595.25 594.55 593.15 591.35 589.15
15.456 595.55 595.05 593.65 591.95 589.95
15.525 596.15 595.55 594.25 592.65 590.75
15.594 596.65 596.15 594.95 593.45 591.65
15.663 596.95 596.45 595.25 593.85 592.15
15.732 597.55 597.05 595.95 594.55 592.95
15.801 597.95 597.55 596.45 595.15 593.65
15.87 598.25 597.85 596.85 595.65 594.25
15.939 598.65 598.35 597.35 596.25 594.85
16.008 599.05 598.65 597.75 596.75 595.45
16.077 599.55 599.15 598.35 597.35 596.15
16.146 599.95 599.65 598.95 597.95 596.75
16.215 600.45 600.15 599.45 598.55 597.45
16.284 600.55 600.25 599.65 598.75 597.75
16.353 600.35 600.15 599.55 598.75 597.85
16.422 600.35 600.15 599.55 598.85 597.95
16.491 600.45 600.25 599.75 599.05 598.15
16.56 600.45 600.25 599.75 599.15 598.25
16.629 600.65 600.55 600.05 599.45 598.65
16.698 600.75 600.65 600.25 599.65 598.95
16.767 601.05 600.85 600.55 599.95 599.25
16.836 601.35 601.25 600.85 600.45 599.75
16.905 601.25 601.25 600.95 600.45 599.85
16.974 601.35 601.35 601.05 600.65 600.05
17.043 601.45 601.35 601.15 600.75 600.25
17.112 601.55 601.45 601.25 600.95 600.45
17.181 601.75 601.75 601.55 601.25 600.85
17.25 601.85 601.85 601.75 601.45 601.05
17.319 601.85 601.85 601.85 601.55 601.25
17.388 601.65 601.65 601.65 601.45 601.15
17.457 601.35 601.45 601.35 601.25 600.95
17.526 601.35 601.45 601.45 601.25 601.05
17.595 600.95 601.05 601.05 600.95 600.75
17.664 600.95 601.05 601.05 601.05 600.85
17.733 600.85 600.95 600.95 600.95 600.75
17.802 600.85 600.85 600.95 600.95 600.75
17.871 600.95 601.05 601.15 601.15 601.05
17.94 600.75 600.85 600.95 600.95 600.85
18.009 600.55 600.75 600.85 600.95 600.85
18.078 600.35 600.55 600.75 600.75 600.75
18.147 600.25 600.35 600.55 600.65 600.65
18.216 600.25 600.35 600.65 600.75 600.75
18.285 600.15 600.25 600.55 600.75 600.75
18.354 599.95 600.15 600.45 600.65 600.75
18.423 599.45 599.65 599.95 600.25 600.35
18.492 598.85 599.05 599.45 599.75 599.85
18.561 598.55 598.75 599.25 599.45 599.65
18.63 597.95 598.15 598.65 598.95 599.15
18.699 597.65 597.95 598.45 598.75 598.95
18.768 597.15 597.45 597.95 598.35 598.65
18.837 596.75 597.05 597.65 597.95 598.25
18.906 596.45 596.75 597.35 597.75 598.05
18.975 595.85 596.25 596.85 597.35 597.65
19.044 595.25 595.65 596.35 596.85 597.25
19.113 594.65 595.05 595.85 596.35 596.85
19.182 594.15 594.65 595.35 596.05 596.45
19.251 593.65 594.15 595.05 595.65 596.15
19.32 593.15 593.65 594.65 595.35 595.95
19.389 592.55 593.15 594.15 594.95 595.55
19.458 591.15 591.85 592.95 593.85 594.55
19.527 589.85 590.55 591.75 592.75 593.55
19.596 588.35 589.15 590.55 591.55 592.45
19.665 586.85 587.75 589.25 590.45 591.35
19.734 585.45 586.45 588.05 589.35 590.35
19.803 583.85 584.95 586.75 588.15 589.25
19.872 582.15 583.35 585.35 586.85 588.15
19.941 580.05 581.45 583.65 585.45 586.85
20.01 577.65 579.15 581.75 583.75 585.35
20.079 574.75 576.45 579.35 581.65 583.45
20.148 571.25 573.25 576.55 579.15 581.25
20.217 567.45 569.75 573.55 576.55 578.95
20.286 562.55 565.15 569.65 573.15 575.95
20.355 556.95 560.05 565.25 569.35 572.65
20.424 549.65 553.35 559.45 564.35 568.15
20.493 540.45 544.75 552.05 557.85 562.45
20.562 528.95 534.05 542.75 549.65 555.25
20.631 514.35 520.45 530.85 539.25 546.05
20.7 496.65 503.95 516.35 526.45 534.65
20.769 474.65 483.25 498.25 510.45 520.35
20.838 447.45 457.75 475.55 490.25 502.25
20.907 418.35 430.25 450.95 468.05 482.15
20.976 389.85 403.05 426.25 445.65 461.65
21.045 363.75 377.85 403.15 424.25 441.95
21.114 340.75 355.45 382.15 404.75 423.65
21.183 321.15 336.15 363.65 387.25 407.15
21.252 304.95 319.85 347.65 371.75 392.35
21.321 291.95 306.65 334.25 358.65 379.55
21.39 282.05 296.25 323.25 347.55 368.55
21.459 274.85 288.45 314.75 338.55 359.55
21.528 269.95 282.95 308.25 331.65 352.25
21.597 267.15 279.45 303.85 326.55 346.75
21.666 266.15 277.95 301.35 323.25 342.95
21.735 266.65 277.95 300.45 321.75 340.95
21.804 268.55 279.45 301.25 321.85 340.45
21.873 271.65 282.15 303.35 323.35 341.65
21.942 275.05 285.35 306.05 325.75 343.55
22.011 277.45 287.65 308.05 327.55 345.25
22.08 277.45 287.65 307.95 327.35 345.15
22.149 273.75 283.95 304.45 324.05 342.15
22.218 264.85 275.15 296.05 316.25 334.75
22.287 247.85 258.55 280.25 301.35 320.85
22.356 214.25 225.75 249.05 271.85 293.25
22.425 186.05 197.95 222.45 246.65 269.55
22.494 165.35 177.35 202.35 227.25 251.05
22.563 149.55 161.45 186.35 211.55 235.75
22.632 137.65 149.25 173.65 198.75 223.15
22.701 128.35 139.55 163.35 188.15 212.55
22.77 120.55 131.25 154.35 178.65 202.85
22.839 113.85 124.15 146.55 170.25 194.25
22.908 108.35 118.25 139.85 163.05 186.65
22.977 103.35 112.95 133.75 156.25 179.45
23.046 98.95 108.15 128.25 150.05 172.75
23.115 95.05 103.85 123.15 144.45 166.65
23.184 91.45 99.95 118.65 139.35 161.05
23.253 88.25 96.45 114.55 134.65 155.85
