x Temperature-80um x Temperature-50um x Temperature-20um
cm C cm C cm C
0.707069946947009 581.829309 0.70706914923475 587.530786 0.707068235754383 594.140344
0.717170946189109 581.781641 0.71717013708096 587.500024 0.717169210550874 594.125879
0.727271945431209 581.733972 0.727271124927171 587.469263 0.727270185347366 594.111414
0.73737294467331 581.686304 0.737372112773382 587.438501 0.737371160143857 594.096948
0.74747394391541 581.638696 0.747473100619592 587.4078 0.747472134940348 594.082666
0.75757494315751 581.591028 0.757574088465803 587.377039 0.757573109736839 594.06814
0.76767594239961 581.543481 0.767675076312014 587.346338 0.76767408453333 594.053735
0.77777694164171 581.495752 0.777776064158225 587.315637 0.777775059329821 594.03927
0.78787794088381 581.448145 0.787877052004435 587.285242 0.787876034126313 594.024805
0.79797894012591 581.400476 0.797978039850646 587.255518 0.797977008922804 594.010339
